title,vote_count,vote_average
Toy Story,5415.0,7.7
Jumanji,2413.0,6.9
Grumpier Old Men,92.0,6.5
Waiting to Exhale,34.0,6.1
Father of the Bride Part II,173.0,5.7
Heat,1886.0,7.7
Sabrina,141.0,6.2
Tom and Huck,45.0,5.4
Sudden Death,174.0,5.5
GoldenEye,1194.0,6.6
The American President,199.0,6.5
Dracula: Dead and Loving It,210.0,5.7
Balto,423.0,7.1
Nixon,72.0,7.1
Cutthroat Island,137.0,5.7
Casino,1343.0,7.8
Sense and Sensibility,364.0,7.2
Four Rooms,539.0,6.5
Ace Ventura: When Nature Calls,1128.0,6.1
Money Train,224.0,5.4
Get Shorty,305.0,6.4
Copycat,199.0,6.5
Assassins,394.0,6.0
Powder,143.0,6.3
Leaving Las Vegas,365.0,7.1
Othello,33.0,7.0
Now and Then,91.0,6.6
Persuasion,36.0,7.4
The City of Lost Children,308.0,7.6
Shanghai Triad,17.0,6.5
Dangerous Minds,249.0,6.4
Twelve Monkeys,2470.0,7.4
Wings of Courage,4.0,6.8
Babe,756.0,6.0
Carrington,16.0,6.4
Dead Man Walking,350.0,7.3
Across the Sea of Time,2.0,3.5
It Takes Two,149.0,6.1
Clueless,828.0,6.9
"Cry, the Beloved Country",13.0,6.7
Richard III,50.0,6.9
Dead Presidents,80.0,6.6
Restoration,30.0,6.3
Mortal Kombat,452.0,5.4
To Die For,177.0,6.7
How To Make An American Quilt,38.0,6.5
Se7en,5915.0,8.1
Pocahontas,1509.0,6.7
When Night Is Falling,10.0,5.9
The Usual Suspects,3334.0,8.1
Guardian Angel,3.0,6.3
Mighty Aphrodite,145.0,6.7
Lamerica,11.0,7.7
The Big Green,41.0,5.2
Georgia,15.0,6.1
Kids of the Round Table,1.0,3.0
Home for the Holidays,39.0,6.3
The Postman,181.0,7.6
The Confessional,2.0,6.5
The Indian in the Cupboard,136.0,5.9
Eye for an Eye,65.0,5.8
Mr. Holland's Opus,115.0,6.9
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2
Two If by Sea,14.0,4.5
Bio-Dome,110.0,4.4
Lawnmower Man 2: Beyond Cyberspace,32.0,2.8
Two Bits,11.0,5.4
French Twist,43.0,6.0
Friday,513.0,7.0
From Dusk Till Dawn,1644.0,6.9
Fair Game,54.0,4.1
Kicking and Screaming,36.0,7.0
Les Miserables,8.0,6.6
Bed of Roses,27.0,5.1
Big Bully,16.0,3.9
Screamers,154.0,6.1
Nico Icon,3.0,7.3
The Crossing Guard,74.0,6.1
The Juror,91.0,5.5
The White Balloon,20.0,7.5
Things to Do in Denver When You're Dead,87.0,6.7
Antonia's Line,26.0,7.2
Once Upon a Time... When We Were Colored,2.0,4.5
